iter	RMSE
0	1.087906849
1	1.030904722
2	0.9767449558
3	0.9283297141
4	0.883902305
5	0.8484384757
6	0.8149341006
7	0.78278703
8	0.7557380802
9	0.7308049024
10	0.7084693306
11	0.6895789229
12	0.6713505762
13	0.6569607371
14	0.6423824124
15	0.6323536435
16	0.6203930145
17	0.6117001129
18	0.600439288
19	0.5915478914
20	0.5829052354
21	0.5769970376
22	0.5714694828
23	0.5660436838
24	0.5605361416
25	0.5552033605
26	0.5508862162
27	0.5471831687
28	0.5431499684
29	0.5405185989
30	0.536321638
31	0.5329805797
32	0.530051844
33	0.5273974029
34	0.5239912307
35	0.5217669371
36	0.5200420478
37	0.51749614
38	0.515408436
39	0.5140398942
40	0.5112904408
41	0.5090431883
42	0.5073525907
43	0.5063572479
44	0.5049306795
45	0.5028426003
46	0.5013089204
47	0.499743192
48	0.4979005528
49	0.4963218167
50	0.4944501364
51	0.4927387249
52	0.4918205121
53	0.4905106404
54	0.4890201844
55	0.4874469405
56	0.4850592485
57	0.4837532631
58	0.4817508126
59	0.4806079223
60	0.4796607691
61	0.4782042172
62	0.477462488
63	0.4756218067
64	0.4746311525
65	0.4733236885
66	0.4719504042
67	0.4708995462
68	0.470112209
69	0.4690990381
70	0.4675562292
71	0.466778963
72	0.4656509213
73	0.4646921335
74	0.4639710728
75	0.4629816346
76	0.4618373627
77	0.4610759621
78	0.4599871368
79	0.4590684012
80	0.4575270124
81	0.4564177659
82	0.4554434602
83	0.4543989546
84	0.4535900898
85	0.4529320898
86	0.4520601111
87	0.4513178232
88	0.4499929828
89	0.4489243719
90	0.4478454359
91	0.4462268253
92	0.4455950771
93	0.4447816497
94	0.4434682317
95	0.4425683033
96	0.4416150692
97	0.4407867205
98	0.4399469422
99	0.439182646
100	0.4382276224
101	0.4373590054
102	0.4360381468
103	0.4352886521
104	0.4344784811
105	0.4338260001
106	0.4332228641
107	0.4323633889
108	0.4317882474
109	0.4311372531
110	0.430437243
111	0.4295145938
112	0.428829217
113	0.4278912897
114	0.4269612538
115	0.4263746263
116	0.4256598744
117	0.4249104977
118	0.4237825833
119	0.4229126969
120	0.4225118195
121	0.4219082706
122	0.4213742664
123	0.4206257138
124	0.4198447636
125	0.418677346
126	0.4179196167
127	0.4165989631
128	0.4161290568
129	0.4154305382
130	0.4147926636
131	0.4140459324
132	0.413198834
133	0.4127567956
134	0.411879717
135	0.4112662764
136	0.4104421794
137	0.409905813
138	0.4090373844
139	0.408145035
140	0.4073770163
141	0.4069023388
142	0.4064623055
143	0.405518264
144	0.4044926651
145	0.4036444071
146	0.4029219126
147	0.4023487278
148	0.4014096209
149	0.4008550399
150	0.4002863164
151	0.3993127657
152	0.398581749
153	0.3977751189
154	0.3971265395
155	0.3965645927
156	0.3961030963
157	0.3954246824
158	0.3946367497
159	0.3939783341
160	0.3934563994
161	0.3924784363
162	0.3919938943
163	0.391350999
164	0.3910354063
165	0.3905736177
166	0.3901995583
167	0.3896859649
168	0.3892760881
169	0.388636807
170	0.3879916343
171	0.3872887489
172	0.3866697993
173	0.3859957066
174	0.3855329384
175	0.384979429
176	0.3845424917
177	0.3841206065
178	0.3832726322
179	0.383005656
180	0.3826241164
181	0.3815774954
182	0.3808473027
183	0.3803327552
184	0.3798297123
185	0.3790733505
186	0.378577762
187	0.3776174472
188	0.3771603422
189	0.3764919898
190	0.3759521483
191	0.3754455307
192	0.3745499769
193	0.3739428156
194	0.3736154339
195	0.3730871688
196	0.3725325651
197	0.372209484
198	0.3715359462
199	0.371063865
200	0.3706569576
201	0.3702675837
202	0.3699205695
203	0.3694602589
204	0.3689750772
205	0.3685586319
206	0.3679296673
207	0.3673667941
208	0.366940223
209	0.3665504127
210	0.3660966865
211	0.3656520183
212	0.3652191428
213	0.3645479946
214	0.3640300852
215	0.3634702867
216	0.3630547903
217	0.3627945299
218	0.3623560802
219	0.362002613
220	0.3615760754
221	0.3608966191
222	0.3604031446
223	0.3600164529
224	0.3595420529
225	0.3588180938
226	0.3584642001
227	0.3580020199
228	0.3576579256
229	0.3573065755
230	0.3568936074
231	0.3564664038
232	0.3561188374
233	0.3554965647
234	0.3550730075
235	0.3547187901
236	0.3543887379
237	0.353811688
238	0.3532651745
239	0.3529772592
240	0.3526314414
241	0.3522909112
242	0.3519109158
243	0.3515761528
244	0.3509430694
245	0.3506273859
246	0.3501500073
247	0.3496588629
248	0.349354679
249	0.3490609154
250	0.3482235147
251	0.3478310286
252	0.3475450833
253	0.3471957462
254	0.3468244951
255	0.3463775078
256	0.3460841615
257	0.3457248624
258	0.3452726692
259	0.3449977252
260	0.3446732239
261	0.3444180647
262	0.3439699523
263	0.3435782242
264	0.3431507603
265	0.3426533692
266	0.3423137068
267	0.3419992677
268	0.3415876168
269	0.3412968684
270	0.3409570843
271	0.3406348189
272	0.3401968411
273	0.3399613189
274	0.3396604966
275	0.3391567024
276	0.3387576586
277	0.3383814588
278	0.3380083537
279	0.3375500651
280	0.3372356166
281	0.3367876168
282	0.3363418855
283	0.3357617636
284	0.3354773151
285	0.3352312081
286	0.3348337908
287	0.3344753445
288	0.3340001506
289	0.3337601704
290	0.3332053675
291	0.3327046776
292	0.3323722329
293	0.3320536027
294	0.3317728263
295	0.3313329519
296	0.330865676
297	0.3305338166
298	0.33032873
299	0.3300223541
300	0.3297256847
301	0.3293736512
302	0.3290727473
303	0.3286160381
304	0.328209931
305	0.327994198
306	0.3274933206
307	0.3272737713
308	0.3269546902
309	0.3266486637
310	0.3263584321
311	0.3260532349
312	0.3257098769
313	0.3251708617
314	0.3248034181
315	0.3245514542
316	0.3242203356
317	0.3240458605
318	0.3237839935
319	0.3233783209
320	0.3230835159
321	0.3227730193
322	0.3226055033
323	0.3223576104
324	0.3219883032
325	0.3216111452
326	0.3211398896
327	0.3208902822
328	0.3205674435
329	0.3203579909
330	0.3200856808
331	0.3199034049
332	0.3193026437
333	0.3189499774
334	0.3186557695
335	0.3182911885
336	0.3180267771
337	0.3176136471
338	0.3172510711
339	0.3170689774
340	0.3169482368
341	0.3165174355
342	0.3161820634
343	0.315803183
344	0.3154634372
345	0.3150400427
346	0.3147934518
347	0.3145635204
348	0.3142233845
349	0.3139426044
350	0.3135737735
351	0.3131197619
352	0.3129345502
353	0.3126053284
354	0.3123565919
355	0.3120522266
356	0.3118267934
357	0.3115723326
358	0.311199403
359	0.3109431547
360	0.3106258371
361	0.3103803725
362	0.3098963257
363	0.3096031968
364	0.3093128299
365	0.3090508805
366	0.3087886562
367	0.3083203348
368	0.3080173032
369	0.3077963658
370	0.3075603547
371	0.3073273034
372	0.3070063406
373	0.3066725593
374	0.3063763547
375	0.3061552223
376	0.305861809
377	0.3053378541
378	0.3047782424
379	0.3045392303
380	0.3043655904
381	0.3039950102
382	0.3036652723
383	0.3033424755
384	0.3030536644
385	0.3028407109
386	0.3027025379
387	0.3025117637
388	0.3022671935
389	0.3020290661
390	0.3016680999
391	0.3014260539
392	0.3012697478
393	0.3008015362
394	0.3005604354
395	0.3003322243
396	0.3000557052
397	0.2997028428
398	0.2994018876
399	0.2992621487
