iter	Passed	Remaining
0	6	2399
1	12	2496
2	17	2341
3	24	2384
4	33	2647
5	39	2562
6	45	2543
7	50	2487
8	56	2457
9	62	2444
10	68	2408
11	73	2378
12	79	2360
13	86	2374
14	91	2345
15	96	2316
16	101	2295
17	107	2277
18	112	2259
19	118	2246
20	124	2245
21	130	2242
22	136	2230
23	143	2243
24	148	2229
25	154	2227
26	159	2208
27	165	2193
28	171	2188
29	177	2183
30	182	2170
31	187	2158
32	192	2145
33	198	2138
34	204	2129
35	209	2116
36	216	2121
37	222	2115
38	228	2113
39	234	2110
40	240	2102
41	245	2091
42	250	2080
43	256	2074
44	262	2074
45	268	2065
46	273	2056
47	279	2048
48	285	2044
49	290	2035
50	297	2037
51	303	2028
52	308	2021
53	314	2013
54	319	2004
55	325	2001
56	331	1994
57	336	1984
58	342	1981
59	348	1975
60	353	1965
61	360	1964
62	365	1954
63	370	1946
64	376	1938
65	382	1933
66	388	1928
67	393	1920
68	399	1917
69	407	1919
70	412	1912
71	419	1911
72	425	1904
73	430	1895
74	436	1893
75	442	1885
76	449	1883
77	454	1875
78	459	1866
79	466	1867
80	473	1863
81	478	1855
82	483	1848
83	489	1840
84	496	1838
85	501	1832
86	507	1824
87	513	1821
88	519	1815
89	524	1807
90	530	1800
91	536	1794
92	543	1793
93	548	1785
94	553	1777
95	559	1770
96	564	1763
97	569	1756
98	576	1753
99	582	1746
100	589	1744
101	594	1737
102	600	1730
103	607	1727
104	612	1721
105	618	1714
106	624	1709
107	630	1704
108	637	1700
109	642	1693
110	647	1686
111	653	1680
112	658	1673
113	664	1665
114	670	1660
115	675	1654
116	681	1648
117	686	1641
118	692	1634
119	697	1627
120	703	1622
121	708	1615
122	714	1608
123	719	1601
124	725	1595
125	730	1588
126	735	1582
127	740	1574
128	746	1567
129	751	1561
130	756	1554
131	763	1550
132	769	1543
133	774	1538
134	783	1537
135	788	1530
136	793	1523
137	798	1516
138	803	1509
139	808	1502
140	814	1495
141	819	1489
142	824	1481
143	829	1474
144	835	1468
145	840	1462
146	845	1455
147	850	1448
148	855	1441
149	861	1435
150	866	1428
151	871	1421
152	876	1415
153	882	1409
154	888	1404
155	893	1397
156	898	1390
157	903	1383
158	908	1376
159	913	1369
160	918	1363
161	924	1357
162	929	1351
163	934	1344
164	939	1337
165	944	1331
166	949	1325
167	955	1318
168	959	1311
169	965	1305
170	970	1299
171	974	1292
172	979	1285
173	985	1279
174	990	1273
175	994	1265
176	999	1259
177	1004	1253
178	1009	1246
179	1014	1240
180	1021	1235
181	1027	1230
182	1034	1226
183	1040	1221
184	1045	1215
185	1050	1208
186	1055	1202
187	1060	1195
188	1066	1190
189	1071	1184
190	1076	1177
191	1081	1171
192	1086	1164
193	1091	1158
194	1095	1152
195	1100	1145
196	1105	1139
197	1111	1133
198	1115	1126
199	1120	1120
200	1125	1114
201	1130	1108
202	1135	1101
203	1140	1095
204	1145	1089
205	1150	1083
206	1156	1078
207	1161	1071
208	1165	1065
209	1170	1058
210	1175	1052
211	1180	1046
212	1186	1041
213	1191	1035
214	1195	1029
215	1200	1023
216	1206	1017
217	1211	1011
218	1215	1004
219	1220	998
220	1225	992
221	1229	986
222	1234	979
223	1238	973
224	1243	966
225	1247	960
226	1253	955
227	1257	948
228	1262	942
229	1266	936
230	1271	930
231	1277	925
232	1281	918
233	1287	913
234	1291	906
235	1296	900
236	1302	895
237	1306	889
238	1311	883
239	1315	877
240	1319	870
241	1324	864
242	1330	859
243	1334	853
244	1339	847
245	1343	841
246	1348	835
247	1353	829
248	1358	823
249	1362	817
250	1367	811
251	1371	805
252	1376	799
253	1381	794
254	1385	787
255	1390	782
256	1395	776
257	1400	770
258	1404	764
259	1410	759
260	1414	753
261	1419	747
262	1423	741
263	1427	735
264	1433	730
265	1437	724
266	1441	718
267	1446	712
268	1450	706
269	1456	701
270	1460	695
271	1465	689
272	1469	683
273	1473	677
274	1477	671
275	1483	666
276	1488	661
277	1493	655
278	1497	649
279	1502	643
280	1507	638
281	1511	632
282	1515	626
283	1520	621
284	1525	615
285	1529	609
286	1534	604
287	1538	598
288	1543	592
289	1547	586
290	1552	581
291	1556	575
292	1560	570
293	1564	564
294	1569	558
295	1573	552
296	1578	547
297	1583	541
298	1586	536
299	1591	530
300	1595	524
301	1599	519
302	1604	513
303	1608	507
304	1612	502
305	1617	496
306	1623	491
307	1627	486
308	1632	480
309	1636	475
310	1640	469
311	1646	464
312	1651	459
313	1655	453
314	1660	447
315	1665	442
316	1669	437
317	1673	431
318	1678	426
319	1683	420
320	1688	415
321	1693	410
322	1697	404
323	1702	399
324	1706	393
325	1711	388
326	1715	383
327	1720	377
328	1725	372
329	1729	366
330	1734	361
331	1739	356
332	1743	350
333	1747	345
334	1752	339
335	1756	334
336	1761	329
337	1765	323
338	1769	318
339	1773	313
340	1778	307
341	1782	302
342	1787	297
343	1791	291
344	1795	286
345	1799	280
346	1804	275
347	1808	270
348	1812	264
349	1816	259
350	1820	254
351	1827	249
352	1831	243
353	1836	238
354	1840	233
355	1844	227
356	1848	222
357	1852	217
358	1856	212
359	1862	206
360	1866	201
361	1870	196
362	1874	191
363	1878	185
364	1883	180
365	1887	175
366	1891	170
367	1895	164
368	1899	159
369	1904	154
370	1908	149
371	1913	144
372	1917	138
373	1921	133
374	1926	128
375	1931	123
376	1935	118
377	1939	112
378	1944	107
379	1949	102
380	1953	97
381	1957	92
382	1961	87
383	1965	81
384	1972	76
385	1976	71
386	1981	66
387	1985	61
388	1990	56
389	1994	51
390	1999	46
391	2003	40
392	2007	35
393	2011	30
394	2016	25
395	2020	20
396	2025	15
397	2029	10
398	2033	5
399	2037	0
